date,open,high,low,close,volume,rsi,macd,macd_signal,macd_hist,stochrsi_K,stochrsi_D,signal
2024-08-09 12:31:00,60223.76,60265.13,60223.76,60265.13,0.08696,60.67642652719925,37.73061985401,16.906240529471,20.824379324539002,57.24304836369304,49.047016265747864,0
2024-08-09 12:32:00,60193.7,60203.74,60184.84,60192.78,0.01562,56.39068164686085,42.28529040723515,21.982050505023828,20.303239902211324,59.98896633380585,55.38381005283474,0
2024-08-09 12:33:00,60195.42,60213.61,60182.13,60182.13,0.0333,55.7662661935935,44.52230818646058,26.49010204131118,18.0322061451494,58.01218257248182,58.4147324233269,Close Trade
2024-08-09 12:34:00,60175.31,60175.31,60145.24,60145.79,0.00221,53.58586436629307,42.86866333330545,29.765814299710033,13.102849033595415,49.94472160311763,55.981956836468434,0
2024-08-09 12:35:00,60178.89,60178.89,60098.95,60100.6,0.00467,50.919665067122736,37.4796405756133,31.30857955489069,6.171061020722611,43.71993833231687,50.55894750263877,0
2024-08-09 12:36:00,60137.2,60187.82,60137.2,60187.54,0.03647,55.50638324959461,39.76573795262084,33.00001123443673,6.765726718184112,51.22441874093012,48.296359558788204,Open Trade
2024-08-09 12:37:00,60196.06,60224.17,60184.07,60196.14,0.11701,55.94496803183607,41.789708969328785,34.75795078141514,7.0317581879136455,61.938452852084914,52.29426997511064,0
2024-08-09 12:38:00,60199.16,60252.73,60199.16,60249.41,0.01677,58.66305386445803,47.14866393718694,37.2360934125695,9.912570524617436,80.20236463902944,64.45507874401483,0
2024-08-09 12:39:00,60302.39,60329.74,60293.81,60296.94,0.05373,60.976521489930555,54.60153561927291,40.70918185391019,13.89235376536272,88.79285647868288,76.97789132326575,0
2024-08-09 12:40:00,60292.36,60292.88,60285.12,60290.64,0.0004,60.493251988871585,59.31587627481349,44.43052073809085,14.885355536722642,95.11338168663013,88.03620093478082,0
2024-08-09 12:41:00,60256.71,60271.29,60200.96,60200.96,0.02539,53.939723501436724,55.179523497543414,46.58032128998136,8.599202207562051,75.1353965534109,86.34721157290797,Close Trade
2024-08-09 12:42:00,60205.67,60232.98,60205.67,60231.1,0.07472,55.677619060892155,53.714295270365255,48.00711608605814,5.707179184307115,57.57224624658445,75.94034149554183,0
2024-08-09 12:43:00,60246.76,60277.22,60245.2,60246.47,0.01086,56.577382688062194,53.18029258216848,49.04175138528021,4.138541196888269,44.53257056400561,59.08007112133365,0
